,Life expectancy at birth,,Women who were first married by age 18,Account at a financial institution,,Wage and salary workers,Wage and salaried workers,Female part-time employment,Firms with female participation in ownership,"Female legislators, senior officials, and managers",Women in parliaments,Nondiscrimination clause mentions gender in the constitution
,Male,Female,,Male,Female,Male,Female,,,,,
,years,years,% of women ages 20-24,% age 15+,% age 15+,% of male employment,% of females employment,% of total,% of firms,% of total,% of total seats,1=yes; 0=no
,2014,2014,2009-2015,2014,2014,2010-2014,2010-2014,2010-2014,2009-2015,2008-2014,2016,2015
Qatar,77.3,79.9,4.2,..,..,99.4,99,..,..,12,0,1
Romania,71.6,78.7,..,65.2,56.8,67.7,68.3,49,47,31,14,0
Russian Federation,65,76,..,63.8,70.2,91.9,93.6,65,28.5,38,13,..
Rwanda,61.1,67,6.8,45.9,30.5,24.6,11.5,..,42.7,..,64,1
Samoa,70.4,76.8,10.8,..,..,64.6,63.2,..,79.8,36,10,1
San Marino,..,..,..,..,..,89.1,93.5,..,..,..,17,..
Sao Tome and Principe,64.4,68.4,34.4,..,..,..,..,..,..,24,18,..
Saudi Arabia,73,75.7,..,75.3,61.1,94,98.8,..,..,7,20,..
Senegal,64.5,68.3,32.3,16,8.2,28.6,13.9,..,22.9,..,43,0
Serbia,72.9,78.3,3.2,83.2,83,64.5,71.7,..,29.8,33,34,1
Seychelles,68.4,78.3,..,..,..,80,91.8,..,..,..,21,0
Sierra Leone,50.4,51.4,38.9,17.5,11.1,..,..,..,7.9,..,12,1
Singapore,80.5,84.9,..,96.6,96.1,81.5,89.5,..,..,34,24,0
Sint Maarten (Dutch part),69.2,77.1,..,..,..,..,..,..,..,..,..,..
Slovak Republic,73.3,80.3,..,74.3,80,80.3,90.1,58,29.7,31,20,1
Slovenia,77.3,83.9,..,97.5,97,79.3,84,60,34.5,38,37,..
Solomon Islands,66.5,69.4,..,..,..,..,..,..,47.4,..,2,1
Somalia,53.8,57,..,9.6,6,..,..,..,..,..,14,..
South Africa,55.2,59.3,..,68.8,68.8,84.1,88.2,65,..,31,42,1
South Sudan,54.7,56.7,51.5,..,..,..,..,..,21.9,..,29,1
Spain,80.2,86.1,..,97.6,97.6,78.5,87,74,..,30,39,1
Sri Lanka,71.5,78.2,..,82.2,83.1,55.1,51.2,..,26.1,28,6,1
St. Kitts and Nevis,..,..,..,..,..,..,..,..,57.8,..,13,1
St. Lucia,72.4,77.8,7.5,..,..,..,..,..,32.1,..,17,1
St. Martin (French part),76.2,82.6,..,..,..,..,..,..,..,..,..,..
St. Vincent and the Grenadines,70.9,75.1,..,..,..,..,..,..,76,..,13,1
Sudan,62,65,32.9,20.2,10,..,..,..,8.2,..,31,1
Suriname,68,74.4,18.8,..,..,4.2,1,..,18.3,36,26,1
Swaziland,49.6,48.2,6.5,..,..,..,..,..,..,..,6,1
Sweden,80.2,83.8,..,99.7,99.8,85.9,93.8,61,52.5,35,44,..
Switzerland,80.8,85,..,99.4,96.7,83,87.2,79,..,33,32,1
Syrian Arab Republic,64,76.5,..,..,..,59.7,83,27,14.4,9,13,1
Tajikistan,66.2,73.2,11.6,13.9,9.1,..,..,..,32.7,..,19,..
Tanzania,63.5,66.4,31.1,21.1,17.1,21.4,10.7,..,24.7,..,37,1
Thailand,71.1,77.9,22.1,81.2,75.4,42,40.7,..,..,25,6,1
Timor-Leste,66.5,70.1,18.9,..,..,32.2,19.9,..,64.4,10,39,1
Togo,58.9,60.4,21.8,20.9,14.4,..,..,..,31.8,..,18,..
Tonga,69.9,75.8,5.6,..,..,..,..,..,65.3,..,0,..
Trinidad and Tobago,67,74,..,..,..,73.7,83.8,..,45.1,..,31,1
Tunisia,71.9,76.5,1.6,34.1,20.5,68.6,80.2,..,49.5,..,31,1
Turkey,72,78.5,14.7,69,44.3,68.5,60.2,58,25.4,10,15,1
Turkmenistan,61.5,69.9,..,2,1.6,..,..,..,..,..,26,..
Turks and Caicos Islands,..,..,..,..,..,..,..,..,..,..,..,..
Tuvalu,..,..,..,..,..,..,..,..,..,..,7,..
Uganda,56.7,60.3,39.7,32.5,23.1,26.1,13.4,..,26.6,..,34,1
Ukraine,66.3,76.4,9.1,54,51.7,82.5,85.9,..,31.5,38,12,..
United Arab Emirates,76.3,78.5,..,89.8,66.3,..,..,..,..,..,23,0
United Kingdom,79.3,82.9,..,99.2,98.7,80.2,89.2,74,..,34,30,..
United States,76.6,81.4,..,92.4,94.8,92.5,94.4,66,..,43,19,..
Uruguay,73.5,80.6,24.6,50.1,41.3,69.9,75.5,65,23.1,44,16,..
Uzbekistan,65,71.8,..,42.2,39.3,..,..,..,29.2,..,16,1
Vanuatu,69.9,74,21.4,..,..,..,..,..,51.4,29,0,1
"Venezuela, RB",70.2,78.5,..,60.8,53.3,56.4,63.5,60,30.7,..,14,1
Vietnam,71,80.5,10.6,29.8,31.9,39.9,29.4,..,51.1,..,27,1
Virgin Islands (U.S.),76.7,83,..,..,..,..,..,..,..,..,..,..
West Bank and Gaza,71,74.9,15.3,27.3,21.2,68.8,64.9,..,12.6,..,..,1
"Yemen, Rep.",62.5,65.2,31.9,11.4,1.7,66.6,57.8,..,6.6,5,0,..
Zambia,58.2,62,31.4,32.9,29.7,29.7,11.3,..,49.8,..,18,1
Zimbabwe,56.2,58.9,33.5,19.1,15.3,42.7,24.1,..,56.2,..,32,1
World,69.4,73.6,..,64.1,57.4,..,..,..,35.1,..,23,..
East Asia & Pacific,72.9,77,..,..,..,..,..,..,46.9,..,19,..
Europe & Central Asia,73.6,80.4,..,..,..,78.9,85.7,69,32.5,..,26,..
Latin America & Caribbean,71.8,78.3,..,..,..,63,67.4,62,39.7,..,29,..
Middle East & North Africa,71.1,74.8,..,..,..,59.5,58.4,..,23.2,..,17,..
North America,76.9,81.7,..,..,..,92.3,94.1,66,..,..,22,..
South Asia,66.8,69.6,..,53.9,36.8,19.7,14.1,..,18.4,..,19,..
Sub-Saharan Africa,57.3,59.9,..,..,..,..,..,..,36.2,..,23,..
